DATO,VARE,KATEGORI,ANTAL,ENHEDSPRIS,BUTIK,PERSON,IALT
20/03/2024,Sorte bønner,Kolonial,1,5.50,Lidl,Anna,5.50
20/03/2024,Halloumi,Mejeri,2,25.00,Lidl,Anna,50.00
20/03/2024,Ingefær,Frugt/grønt,1,12.00,365,Anna,12.00
20/03/2024,Tomat passata,Kolonial,2,10.00,365,Anna,20.00
20/03/2024,Tomat puré,Kolonial,1,11.00,365,Anna,11.00
20/03/2024,Lime,Frugt/grønt,1,3.50,Føtex,Camille,3.50
20/03/2024,Jasmin ris,Kolonial,1,25.00,Føtex,Camille,25.00
20/03/2024,Corny muslibar,Snacks/slik,1,6.00,Føtex,Camille,6.00
20/03/2024,Håndsæbe,Andet,1,39.00,Føtex,Camille,30.00
20/03/2024,Refill håndsæbe,Andet,1,20.00,Føtex,Camille,20.00
20/03/2024,Køkkenrulle,Andet,1,20.00,Føtex,Camille,20.00
20/03/2024,Grana padano,Mejeri,1,33.95,Rema 1000,Isabella,33.95
20/03/2024,Mozzarella,Mejeri,1,5.00,Rema 1000,Isabella,5.00
20/03/2024,Ricotta,Mejeri,1,12.95,Rema 1000,Isabella,12.95
20/03/2024,Soltørrede tomater,Kolonial,1,12.00,Rema 1000,Isabella,12.00
20/03/2024,Baby spinat,Frugt/grønt,1,12.00,Rema 1000,Isabella,12.00
20/03/2024,Champignon,Frugt/grønt,1,16.00,Rema 1000,Isabella,16.00
20/03/2024,Tapas tomat,Frugt/grønt,1,20.00,Rema 1000,Isabella,20.00
20/03/2024,Minimælk,Mejeri,1,11.50,365,Nikoline,11.50
20/03/2024,Chips,Snacks/slik,1,14.95,365,Nikoline,14.95
21/03/2024,Six pack pepsi max,Alkohol/soda,1,43.50,Lidl,Anna,43.50
21/03/2024,Bagel chilli/cheddar,Frost,1,39.95,Meny,Anna,39.95
21/03/2024,Kyllingebrystfilet,Kød,1,25.00,365,Anna,25.00
21/03/2024,Hønsesalat,Kød,2,10.00,365,Anna,20.00
21/03/2024,Cheddar,Mejeri,1,12.95,365,Anna,12.95
21/03/2024,Kålblandning,Frugt/grønt,1,15.00,365,Anna,15.00
21/03/2024,Gravad laks,Kød,1,22.00,365,Anna,22.00
21/03/2024,Kalkunbacon,Kød,1,10.00,365,Anna,10.00
21/03/2024,Drømmekage mix,Snacks/slik,1,24.00,Føtex,Camille,24.00
22/03/2024,Bao buns,Frost,1,75.00,Asiatisk købmand,Camille,75.00
22/03/2024,Hoisin sauce,Kolonial,1,28.00,Asiatisk købmand,Camille,28.00
22/03/2024,Agurk,Frugt/grønt,1,7.00,Føtex,Camille,7.00
22/03/2024,Purløg,Frugt/grønt,1,10.00,Føtex,Camille,10.00
22/03/2024,Champignon,Frugt/grønt,1,17.00,Føtex,Camille,17.00
22/03/2024,Flæsk i skiver,Kød,1,44.00,Føtex,Camille,44.00
22/03/2024,Salsiccia pølse,Kød,1,33.00,Føtex,Camille,33.00
