DATO,VARE,KATEGORI,ANTAL,ENHEDSPRIS,BUTIK,PERSON,I ALT
onsdag,Sorte bønner,Kolonial,1,5.50,Lidl,Anna,5.50
onsdag,Halloumi,Mejeri,2,25.00,Lidl,Anna,50.00
onsdag,Ingefær,Frugt/grønt,1,12.00,365,Anna,12.00
onsdag,Tomat passata,Kolonial,2,10.00,365,Anna,20.00
onsdag,Tomat puré,Kolonial,1,11.00,365,Anna,11.00
onsdag,Lime,Frugt/grønt,1,3.50,Føtex,Camille,3.50
onsdag,Jasmin ris,Kolonial,1,25.00,Føtex,Camille,25.00
onsdag,Corny muslibar,Snacks/slik,1,6.00,Føtex,Camille,6.00
onsdag,Håndsæbe,Andet,1,39.00,Føtex,Camille,30.00
onsdag,Refill håndsæbe,Andet,1,20.00,Føtex,Camille,20.00
onsdag,Køkkenrulle,Andet,1,20.00,Føtex,Camille,20.00
onsdag,Grana padano,Mejeri,1,33.95,Rema 1000,Isabella,33.95
onsdag,Mozzarella,Mejeri,1,5.00,Rema 1000,Isabella,5.00
onsdag,Ricotta,Mejeri,1,12.95,Rema 1000,Isabella,12.95
onsdag,Soltørrede tomater,Kolonial,1,12.00,Rema 1000,Isabella,12.00
onsdag,Baby spinat,Frugt/grønt,1,12.00,Rema 1000,Isabella,12.00
onsdag,Champignon,Frugt/grønt,1,16.00,Rema 1000,Isabella,16.00
onsdag,Tapas tomat,Frugt/grønt,1,20.00,Rema 1000,Isabella,20.00
onsdag,Minimælk,Mejeri,1,11.50,365,Nikoline,11.50
onsdag,Chips,Snacks/slik,1,14.95,365,Nikoline,14.95
torsdag,Six pack pepsi max,Alkohol/soda,1,43.50,Lidl,Anna,43.50
torsdag,Bagel chilli/cheddar,Frost,1,39.95,Meny,Anna,39.95
torsdag,Kyllingebrystfilet,Kød,1,25.00,365,Anna,25.00
torsdag,Hønsesalat,Kød,2,10.00,365,Anna,20.00
torsdag,Cheddar,Mejeri,1,12.95,365,Anna,12.95
